invoice_number,amount,currency
INV-1001,125.40,EUR
INV-1002,48.99,USD
INV-1003,875.00,EUR
INV-1004,19.95,GBP
INV-1005,302.18,EUR
INV-1006,71.20,USD
INV-1007,1450.00,EUR
INV-1008,64.75,GBP
INV-1009,210.10,EUR
INV-1010,95.00,USD
INV-1011,510.45,EUR
INV-1012,33.30,GBP
INV-1013,187.99,EUR
INV-1014,760.00,USD
INV-1015,41.25,EUR
INV-1016,129.90,GBP
INV-1017,245.00,EUR
INV-1018,88.80,USD
INV-1019,999.99,EUR
INV-1020,54.15,GBP
INV-1021,318.22,EUR
INV-1022,67.50,USD
INV-1023,1200.00,EUR
INV-1024,23.49,GBP
INV-1025,455.70,EUR
INV-1026,101.10,USD
INV-1027,77.77,EUR
INV-1028,630.00,GBP
INV-1029,214.35,EUR
INV-1030,39.99,USD
INV-1031,560.40,EUR
INV-1032,82.15,GBP
INV-1033,170.00,EUR
INV-1034,925.60,USD
INV-1035,28.75,EUR
INV-1036,340.00,GBP
INV-1037,119.45,EUR
INV-1038,66.66,USD
INV-1039,780.20,EUR
INV-1040,52.90,GBP
INV-1041,231.00,EUR
INV-1042,109.99,USD
INV-1043,475.50,EUR
INV-1044,36.25,GBP
INV-1045,1380.00,EUR
INV-1046,91.40,USD
INV-1047,205.05,EUR
INV-1048,59.80,GBP
INV-1049,690.75,EUR
INV-1050,44.44,USD
INV-1051,350.10,EUR
INV-1052,73.25,GBP
INV-1053,840.00,EUR
INV-1054,116.60,USD
INV-1055,27.95,EUR
INV-1056,420.30,GBP
INV-1057,155.00,EUR
INV-1058,62.10,USD
INV-1059,1040.80,EUR
INV-1060,84.90,GBP
